date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-12,A1,,Senior,Mark Lowcock,SCS4,Permanent Secretary,DFID,NaN,"160,000","164,999",Policy
Sep-12,A2,A1,Senior,Richard Calvert,SCS3,DG Corporate Performance,Finance & Corporate Performance,NaN,"125,000","129,999",Policy
Sep-12,A3,A1,Senior,Michael Anderson,SCS3,DG Policy & Global Programmes,Policy & International,NaN,"120,000","124,999",Policy
Sep-12,A5,A1,Senior,Joy Hutcheon ,SCS3,"DG Africa, South and East Asia and Western Hemisphere ",Country programmes,NaN,"105,000","109,999",Policy
Sep-12,A6,A5,Senior,Jim Drummond,SCS2,Director of West & Southern Africa,Country programmes,NaN,"105,000","109,999",Policy
Sep-12,A7,A3,Senior,Nick Dyer,SCS2,Director Policy ,Policy & International,NaN,"90,000","94,999",Policy
Sep-12,A8,A6,Senior,Dave Fish,SCS2,"Head of  DFID, Zimbabwe",Country programmes,0,"115,000","119,999",Policy
Sep-12,A10,A22,Senior,Moazzam Malik,SCS2,Director of Western Asia & Stabilisation,Country programmes,NaN,"90,000","94,999",Policy
Sep-12,A11,A3,Senior,"Manuel, Marcus",SCS2,Prog Director/BIS Head of Cape /Secondment to ODI,DFID,0,"85,000","89,999",Policy
Sep-12,A12,A2,Senior,"Robertson, Neil",SCS2,Director Human Resources,Corporate Performance,NaN,"100,000","104,999",Human Resources
Sep-12,A13,A5,Senior,"Sharpe, Sam ",SCS2,"Head of  DFID, India",Finance & Corporate Performance,0,"95,000","99,999",Policy
Sep-12,A14,A3,Senior,ND,SCS2,Director International Relations,Policy & International,NaN,"90,000","94,999",Policy
Sep-12,A15,A3,Senior,ND,SCS2,Director Intrnational Finance & Dev Effectiveness Division,Policy & International,NaN,"90,000","94,999",Policy
Sep-12,A16,A5,Senior,"Wardell, Sue ",SCS2,"Director Security & Humanitarian & Middle East, Caribbean & OTs",Country programmes,NaN,"95,000","99,999",Policy
Sep-12,A19,A5,Senior,Donal Brown,SCS2,Acting Director East and Central Africa,Policy & International,NaN,"80,000","84,999",Policy
Sep-12,A20,A3,Senior,Chris Whitty,SCS2,Chief Scientific Advisor / Director Research & Evidence,Policy & International,NaN,0,0,Policy
Sep-12,A21,A2,Senior,Ditchburn Liz,SCS2,"Director, Value for Money ",Finance & Corporate Performance,NaN,"90,000","94,999",Finance
Sep-12,A22,A1,Senior,Bowman Mark,SCS3,"Director General Humanitarian, Security, Conflict and International Finance",Policy & International,NaN,"120,000","124,999",Policy
Sep-12,A23,A3,Senior,Dercon Stefan,SCS2,Chief Economist,Finance & Corporate Performance,NaN,"90,000","94,999",Economics
Sep-12,B38,A2,Senior,James Helm,SCS1,"Deputy Director, Director of Communications",Finance & Corporate Performance,NaN,"85,000","89,999",Policy
Sep-12,B41,A2,Senior,Agnew Charles,SCS1,"Deputy Director, Head of Information Systems Department",Finance & Corporate Performance,NaN,"65,000","69,999",Information Technology
Sep-12,B42,A20,Senior,Amery Jenny,SCS1,"Deputy Director, Chief Professional Officer Human Development (Education and Health)",Policy & International,NaN,"65,000","69,999",Policy
Sep-12,B43,A3,Senior,Austin Chris,SCS1,"Deputy Director, Conflict Humanitarian And Security Department",Country programmes,NaN,"80,000","84,999",Policy
Sep-12,B44,B89,Senior,Barrett John,SCS1,Head of the DFID-Pakistan Flood Response Team,Country programmes,NaN,"70,000","74,999",Policy
Sep-12,B46,A15,Senior,Bland Simon,SCS1,"Deputy Director, Head of Global Funds Department and DFID Representative Geneva",Policy & International,NaN,"75,000","79,999",Policy
Sep-12,B47,A12,Senior,Blundell Adrian,SCS1,"Deputy Director, Head of HR Operations",Finance & Corporate Performance,NaN,"65,000","69,999",Human Resources
Sep-12,B48,A21,Senior,Bowden Martin,SCS1,"Deputy Director, Head of Profession, Procurement",Finance & Corporate Performance,NaN,"75,000","79,999",Policy
Sep-12,B49,A5,Senior,Carriere Elizabeth,SCS1,"Deputy Director, Head of DFID Rwanda and Burundi",Country programmes,0,"65,000","69,999",Policy
Sep-12,B50,A14,Senior,Cassidy Eamon,SCS1,"Deputy Director, Head of trade and Development. Joint Trade policy Unit",Policy & International,NaN,"75,000","79,999",Policy
