date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Mar-14,19678,,,"Nick,Macpherson",SCS4,Permanent Secretary,Board Ministerial and Communications,0,180000,184999,Policy
Mar-14,23164,19678,,"John,Kingman",SCS4,Second Permanent Secretary,Board Ministerial and Communications,0,155000,159999,Policy
Mar-14,23165,19678,,"Sharon,White",SCS4,Second Permanent Secretary,Board Ministerial and Communications,0,150000,154999,Policy
Mar-14,24043,23165,,Vacant,SCS3,"Director General, Public Spending",Board Ministerial and Communications,0,N/A,,Policy
Mar-14,24596,25448,,"Stephen, Field",SCS2,Director IMF,International and EU,0,80000,84999,Policy
Mar-14,24775,23164,,"Charles,Roxburgh",SCS3,Director General Financial Services,Board Ministerial and Communications,0,130000,134999,Policy
Mar-14,25448,19678,,"Mark,Bowman",SCS3,Director General International Finance,Board Ministerial and Communications,0,120000,124999,Policy
Mar-14,24041,19678,,"Dave,Ramsden",SCS3,Director General and Chief Economic Adviser to the Treasury,Economics and Fiscal,0,125000,129999,Policy
Mar-14,24042,23165,,"Indra,Morris",SCS3,"Director General, Tax and Welfare",Board Ministerial and Communications,0,125000,129999,Policy
Mar-14,24025,19678,,"Kirstin,Baker",SCS2,"Director, Finance and Commercial",Corporate Centre,920886,50000,54999,Policy
Mar-14,24038,23164,,"Geoffrey,Spence",SCS2,"Chief Executive, Infrastructure UK",Infrastructure UK (IUK),4112665,170000,174999,Policy
Mar-14,24024,23165,,"Julian,Kelly",SCS2,"Director,Public Spending",Public Spending,0,90000,94999,Policy
Mar-14,24027,24042,,"Mike,Williams",SCS2,Director Business and International Tax,Business and International Tax,0,110000,114999,Policy
Mar-14,24058,25448,,"Shona,Riach",SCS2,Director International,International and EU,0,85000,89999,Policy
Mar-14,24040,24775,,"Nikhil,Rathi",SCS2,Director Financial Services,Financial Services,0,85000,89999,Policy
Mar-14,24028,23165,,"Jeremy,Pocklington",SCS2,"Director, Enterprise & Growth Unit (EGU)",Enterprise and Growth,0,85000,89999,Policy
