Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-15,Senior,DCMS1001,N/D,SCS1,"Deputy Director, Head of Government Art Collection",Curator of the Government Art Collection,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2006,389483,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1002,N/D,SCS1,"Deputy Director, BDUK, Policy and Operations","Responsible for key policy areas, communications and finance in BDUK","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2003,0,1,N/A,N/A,Operational Delivery,,
Mar-15,Senior,DCMS1003,N/D,SCS1,"Deputy Director, GEO, LGB&T policy","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2002,0,0.9,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1004,N/D,SCS1,"Deputy Directo, Head of Museums and ALBs","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2006,457552,0.83,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1005,N/D,SCS1,"Deputy Director, Head of Arts, Libraries & Cultural Property","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2006,466563,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1006,N/D,SCS1,"Deputy Director, BDUK, Super Connected Cities Programme",Responsible for the Department's programmes for supporting digital infrstructure capabilities in UK cities,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2003,0,1,N/A,N/A,Operational Delivery,,
Mar-15,Senior,DCMS1007,N/D,SCS1,"Deputy Director, Head of Internet and International","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2005,591058,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1008,N/D,SCS1,"Deputy Director, Head of BBC Policy","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2005,354489,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1009,N/D,SCS1,"Deputy Director, Head of Sport","Responsible for a key policy area, taking the lead directly with Ministers on strategy and development in that area and for relevant elements of the Departmental Business Plan","Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2006,524011,1,N/A,N/A,Policy,,
Mar-15,Senior,DCMS1010,N/D,SCS1,"Deputy Director, Head of Finance",Responsible for the financial management and performance of the Department and its NDPBs,"Department for Culture, Media and Sport","Department for Culture, Media and Sport",Senior Management Team,020 7211 6000,Enquiries@Culture.gov.uk,DCMS2001,474950,1,N/A,N/A,Finance,,
